plan,prioritized_requirements
Afghanistan,375900000
Burkina Faso,342000000
Cameroon,171000000
Central African Republic,214100000
Chad,680000000
Colombia,384000000
Democratic Republic of the Congo,937000000
Haiti,678000000
Mali,392800000
Mozambique,265305907
Myanmar,521000000
Nigeria,516000000
Occupied Palestinian Territory,4060000000
Somalia,350000000
South Sudan,1041000000
Sudan,2143603357
Syrian Arab Republic,2070000000
Ukraine,2050000000
Venezuela,184000000
Yemen,1420000000
Horn of Africa to Yemen and Southern Africa (MRP),44570140
Rohingya (JRP),567545838
Sudan (RRP),928968963
Syria (3RP),2800721613
Venezuela (RMRP),450739267
Uganda,423000000
